temperature,pump cooler freq,concentration,light intensity
 temperature, pump cooler freq, concentration, light intensity
 16.99667, 1, 19494.69, 1581.09
 16.87958, 1, 18960.77, 1580.22
 17.20675, 1, 19460.06, 1581.12
 16.88644, 1, 18309.41, 1579.02
 16.97889, 1, 18960.77, 1579.09
 17.02881, 2332, 17851.73, 1584.78
 17.25147, 4789, 16627.68, 1578.79
 17.0759, 3687, 19844.22, 1582.21
 17.07417, 3342, 17403.1, 1580.64
 17.16826, 4432, 18171.19, 1584.17
 17.15677, 7418, 18061.81, 1582.39
 17.03684, 6631, 16906.12, 1580.55
 17.53066, 10775, 16934.84, 1581.87
 17.0028, 8223, 16177.41, 1581.83
 16.8658, 5399, 16943.41, 1583.23
 17.31179, 8445, 16799.86, 1577.87
 17.38402, 15015, 17529.59, 1587.27
 17.59197, 15015, 17061.18, 1588.1
 17.44201, 15015, 19073.27, 1581.73
 17.4662, 11737, 18136.64, 1582.07
 17.34158, 15015, 19321.46, 1581.34
 17.18319, 15015, 18894.44, 1582.79
 17.00066, 9578, 19740.21, 1578.42
 17.34501, 15015, 16788.41, 1584.09
 16.91516, 3424, 18165.44, 1579.51
 17.55134, 15015, 17946.7, 1581.71
 17.44545, 15015, 16765.41, 1580.11
 17.56943, 15015, 18427.51, 1586.12
 17.39724, 15015, 16854.44, 1582.19
 17.48505, 15015, 19168.53, 1580.13
 17.39265, 11337, 18418.86, 1577.5
 17.52012, 15015, 17874.76, 1582.94
 17.2704, 11111, 20512.23, 1584.2
 17.23884, 11061, 18153.93, 1584.08
 17.27671, 15015, 17495.09, 1581.4
 17.13957, 15015, 18877.18, 1580.21
 17.0872, 15015, 18096.33, 1579.17
 17.21703, 15015, 18041.66, 1581.03
 17.69857, 15015, 17006.63, 1588.7
 17.10685, 15015, 17587.12, 1579.84
 17.59185, 15015, 18839.67, 1581.35
 17.49078, 15015, 17843.09, 1590.97
 17.45177, 15015, 17753.91, 1585.88
 17.54012, 15015, 17661.85, 1582.75
 17.01037, 15015, 16808.48, 1589.01
 17.63427, 15015, 16621.92, 1589.23
 17.66871, 15015, 16679.33, 1583.22
 17.82788, 15015, 17043.96, 1580.29
 17.50052, 15015, 16673.6, 1582.91
 17.39664, 15015, 16685.1, 1585.28
 17.72785, 15015, 18007.11, 1586.57
 17.61245, 15015, 17906.4, 1579.86
 17.15973, 15015, 18911.76, 1588.54
 17.56308, 15015, 17345.6, 1585.83
 17.5797, 15015, 17138.73, 1583.69
 17.91769, 15015, 15238.11, 1584.71
 17.94029, 15015, 16931.96, 1587.85
 17.8427, 15015, 17940.94, 1586.06
 17.32204, 15015, 17961.06, 1586.51
 17.86275, 15015, 17722.28, 1584.5
 17.67864, 15015, 17489.34, 1586.37
 17.70213, 15015, 17072.66, 1580.1
 17.70667, 15015, 16085.66, 1587.42
 17.65551, 15015, 18116.51, 1583.56
 18.12373, 15015, 17892.01, 1581.14
 17.70883, 15015, 16863.06, 1581.5
 17.71588, 15015, 16871.63, 1580.33
 17.62159, 15015, 22525.17, 1565.46
 17.59864, 15015, 21537.89, 1574.11
 17.82818, 15015, 20341.54, 1576.79
 17.75932, 15015, 18807.96, 1574.11
 17.89377, 16025, 21688.77, 1563.25
 17.97089, 16025, 22996.32, 1574.28
 17.79734, 16025, 22031.29, 1568.89
 17.66753, 16025, 23878.88, 1569.85
 18.08255, 16025, 21311.7, 1573.4
 17.95454, 16025, 22170.69, 1567.05
 18.09236, 16025, 22734.5, 1569.53
 17.74572, 16025, 22676.35, 1567.3
 17.77491, 16025, 22103.89, 1567.96
 18.08086, 16025, 22987.59, 1563.23
 18.10326, 16025, 21883.22, 1571.08
 17.93734, 14005, 23467.96, 1567.48
 17.61476, 14005, 21973.2, 1566.75
 17.85873, 14005, 19468.68, 1569.48
 18.09577, 14005, 21593.04, 1572.83
 18.43973, 14005, 16360.91, 1585.12
 18.12971, 14005, 18675.35, 1581.33
 18.50348, 14005, 17549.72, 1577.77
 18.50865, 14005, 19243.54, 1572.61
 18.37429, 14005, 17952.42, 1586.89
 17.94891, 14005, 18341.12, 1575.33
 18.14065, 14005, 19309.92, 1575.55
 18.68115, 14005, 18735.89, 1575.09
 18.80993, 14005, 25224.91, 1553.08
 18.21004, 14005, 27458.58, 1538.88
 18.23256, 14005, 21071.16, 1562.85
 18.30999, 14005, 24065.51, 1567.0
 18.42079, 14005, 25330.21, 1561.56
 18.52197, 14005, 22946.85, 1567.77
 18.0534, 14005, 24698.88, 1567.1
 18.33592, 14005, 23843.89, 1564.77
 18.48571, 14005, 24211.37, 1564.46
 18.2273, 14005, 25728.14, 1555.85
 18.66096, 14005, 21642.32, 1565.1
 18.4914, 14005, 24380.63, 1566.06
 18.29281, 14005, 22490.29, 1561.7
 18.66154, 14005, 25420.85, 1556.57
 18.28756, 14005, 21688.77, 1563.69
 18.51046, 14005, 22513.52, 1566.15
 18.65518, 14005, 25818.92, 1559.44
