date and time, temperature, pump cooler freq, concentration, light intensity
2023-06-20 11:59:01, 15.34825, 1, 14540.63, 1596.28
2023-06-20 11:59:11, 15.48622, 1, 15086.51, 1593.23
2023-06-20 11:59:21, 15.4862, 1, 15527.14, 1592.44
2023-06-20 11:59:31, 15.71539, 1, 14886.38, 1589.08
2023-06-20 11:59:41, 15.59818, 1, 14949.26, 1592.05
2023-06-20 11:59:51, 15.61548, 1, 14312.18, 1587.2
2023-06-20 12:00:01, 15.43441, 1, 16340.81, 1591.23
2023-06-20 12:00:11, 15.52067, 1, 16705.16, 1591.72
2023-06-20 12:00:21, 15.43449, 1, 18096.33, 1589.0
2023-06-20 12:00:31, 15.52064, 1, 17742.39, 1584.22
2023-06-20 12:00:41, 15.32206, 1, 16644.92, 1584.7
2023-06-20 12:00:51, 15.79644, 1, 16429.73, 1587.55
2023-06-20 12:01:01, 15.48621, 1, 14457.79, 1589.59
2023-06-20 12:01:11, 15.5293, 1, 17273.75, 1582.01
2023-06-20 12:01:21, 15.64994, 1, 16888.87, 1585.16
2023-06-20 12:01:31, 15.62394, 1, 18050.3, 1585.83
2023-06-20 12:01:41, 15.62409, 1, 17834.47, 1581.91
2023-06-20 12:01:51, 15.38272, 1, 16372.35, 1587.6
2023-06-20 12:02:01, 15.40848, 1, 18010.0, 1581.75
2023-06-20 12:02:11, 15.77048, 1, 19084.84, 1572.83
2023-06-20 12:02:21, 15.77921, 1, 18073.31, 1582.1
2023-06-20 12:02:31, 15.58105, 1, 16774.03, 1580.17
2023-06-20 12:02:41, 15.60682, 1, 17132.99, 1583.48
2023-06-20 12:02:51, 15.55515, 1, 17581.35, 1587.96
2023-06-20 12:03:01, 15.36542, 1, 19145.4, 1581.59
2023-06-20 12:03:11, 15.63262, 1, 19696.86, 1577.93
2023-06-20 12:03:21, 15.47757, 1, 17210.55, 1583.85
2023-06-20 12:03:31, 15.59823, 1, 18424.65, 1582.85
2023-06-20 12:03:41, 15.61546, 1, 17621.61, 1584.17
2023-06-20 12:03:51, 15.73615, 1, 18684.0, 1579.16
2023-06-20 12:04:01, 15.68439, 1, 20017.65, 1578.53
2023-06-20 12:04:11, 15.72754, 1, 19321.46, 1570.22
2023-06-20 12:04:21, 15.31343, 1, 19283.92, 1579.84
2023-06-20 12:04:31, 15.80153, 1, 19722.85, 1579.01
2023-06-20 12:04:41, 15.68439, 1, 21189.97, 1578.12
2023-06-20 12:04:51, 15.4862, 1, 19806.66, 1575.53
2023-06-20 12:05:01, 15.55851, 1, 19734.43, 1570.8
2023-06-20 12:05:11, 15.43431, 1, 20491.99, 1578.56
2023-06-20 12:05:21, 15.81361, 1, 20205.58, 1571.53
2023-06-20 12:05:31, 15.83259, 1, 19344.57, 1577.04
2023-06-20 12:05:41, 15.84278, 1, 19670.88, 1579.17
2023-06-20 12:05:51, 15.7205, 1, 18669.56, 1583.35
2023-06-20 12:06:01, 15.54404, 1, 17627.33, 1580.8
2023-06-20 12:06:11, 15.3568, 1, 16799.86, 1585.47
2023-06-20 12:06:21, 15.51199, 1, 19234.87, 1580.29
2023-06-20 12:06:31, 15.61548, 1, 17719.39, 1579.49
2023-06-20 12:06:41, 15.67581, 1, 19737.3, 1578.5
2023-06-20 12:06:51, 15.74989, 1, 18444.81, 1583.98
2023-06-20 12:07:01, 15.63267, 1, 19090.6, 1584.27
2023-06-20 12:07:11, 15.89634, 1, 18926.16, 1581.21
2023-06-20 12:07:21, 15.71017, 1, 18297.9, 1580.4
2023-06-20 12:07:31, 16.01004, 1, 18816.59, 1583.37
2023-06-20 12:07:41, 15.65849, 1, 19047.34, 1577.29
2023-06-20 12:07:51, 15.65834, 1, 18263.36, 1585.52
2023-06-20 12:08:01, 15.94285, 1, 17929.41, 1581.7
2023-06-20 12:08:11, 15.74471, 1, 18047.41, 1579.9
